"DiagnosisCode","Year","Diagnoses","Treat.and.Release","Patient.Admitted","CCSR for ICD-10-CM Body System"
"EYE","2019","EYE001: Cornea and external disease",12509,81,"Diseases of the eye and adnexa"
"EYE","2019","EYE002: Cataract and other lens disorders",29,NA,"Diseases of the eye and adnexa"
"EYE","2019","EYE003: Glaucoma",228,NA,"Diseases of the eye and adnexa"
"EYE","2019","EYE004: Uveitis and ocular inflammation",342,21,"Diseases of the eye and adnexa"
"EYE","2020","EYE001: Cornea and external disease",6930,53,"Diseases of the eye and adnexa"
"EYE","2020","EYE002: Cataract and other lens disorders",28,NA,"Diseases of the eye and adnexa"
"EYE","2020","EYE003: Glaucoma",190,NA,"Diseases of the eye and adnexa"
"EYE","2020","EYE004: Uveitis and ocular inflammation",248,18,"Diseases of the eye and adnexa"
"EYE","2020","EYE005: Retinal and vitreous conditions",636,67,"Diseases of the eye and adnexa"
"EYE","2020","EYE006: Neuro-ophthalmology",265,131,"Diseases of the eye and adnexa"
"EYE","2018","EYE001: Cornea and external disease",12794,81,"Diseases of the eye and adnexa"
"EYE","2018","EYE002: Cataract and other lens disorders",32,NA,"Diseases of the eye and adnexa"
"EYE","2018","EYE003: Glaucoma",218,NA,"Diseases of the eye and adnexa"
"EYE","2018","EYE004: Uveitis and ocular inflammation",356,19,"Diseases of the eye and adnexa"
"EYE","2018","EYE005: Retinal and vitreous conditions",702,36,"Diseases of the eye and adnexa"
"EYE","2018","EYE006: Neuro-ophthalmology",281,143,"Diseases of the eye and adnexa"
"EYE","2017","EYE012: Other specified eye disorders",2881,32,"Diseases of the eye and adnexa"
"EYE","2018","EYE009: Refractive error",NA,NA,"Diseases of the eye and adnexa"
"EYE","2018","EYE010: Blindness and vision defects",2924,63,"Diseases of the eye and adnexa"
"EYE","2018","EYE011: Postproc eye complication",26,NA,"Diseases of the eye and adnexa"
"EYE","2018","EYE012: Other specified eye disorders",2902,32,"Diseases of the eye and adnexa"
"EYE","2019","EYE008: Oculofacial plastics and orbital conditions",721,86,"Diseases of the eye and adnexa"
"EYE","2019","EYE009: Refractive error",NA,NA,"Diseases of the eye and adnexa"
"EYE","2016","EYE011: Postproc eye complication",26,NA,"Diseases of the eye and adnexa"
"EYE","2016","EYE012: Other specified eye disorders",2967,40,"Diseases of the eye and adnexa"
"EYE","2019","EYE012: Other specified eye disorders",2963,49,"Diseases of the eye and adnexa"
"EYE","2017","EYE010: Blindness and vision defects",2670,55,"Diseases of the eye and adnexa"
"EYE","2017","EYE011: Postproc eye complication",16,NA,"Diseases of the eye and adnexa"
"EYE","2019","EYE011: Postproc eye complication",26,NA,"Diseases of the eye and adnexa"
"EYE","2019","EYE010: Blindness and vision defects",3202,71,"Diseases of the eye and adnexa"
"GEN","2020","GEN013: Inflammatory conditions-male genital organs",3391,398,"Diseases of the genitourinary system"
"GEN","2020","GEN018: Inflammatory diseases-female pelvic organs",4336,288,"Diseases of the genitourinary system"
"GEN","2020","GEN019: Endometriosis",148,24,"Diseases of the genitourinary system"
"GEN","2017","GEN014: Erectile dysfunction",24,NA,"Diseases of the genitourinary system"
"GEN","2020","GEN007: Oth diseases of bladder and urethra",493,177,"Diseases of the genitourinary system"
"GEN","2020","GEN008: Urinary incontinence",194,NA,"Diseases of the genitourinary system"
"GEN","2020","GEN020: Prolapse of female genital organs",245,NA,"Diseases of the genitourinary system"
"GEN","2020","GEN021: Menstrual disorders",1842,56,"Diseases of the genitourinary system"
"GEN","2020","GEN012: Hyperplasia of prostate",1401,166,"Diseases of the genitourinary system"
"GEN","2020","GEN026: Postproc GU system complication",573,302,"Diseases of the genitourinary system"
"GEN","2020","GEN014: Erectile dysfunction",20,NA,"Diseases of the genitourinary system"
"GEN","2020","GEN016: Other specified male genital disorders",4389,73,"Diseases of the genitourinary system"
"GEN","2020","GEN017: Nonmalignant breast conditions",1850,151,"Diseases of the genitourinary system"
"GEN","2017","GEN001: Nephritis; nephrosis; renal sclerosis",92,135,"Diseases of the genitourinary system"
"GEN","2017","GEN002: Acute and unspecified renal failure",2747,9158,"Diseases of the genitourinary system"
"GEN","2017","GEN003: Chronic kidney disease",2769,1711,"Diseases of the genitourinary system"
"GEN","2017","GEN004: Urinary tract infections",63421,6967,"Diseases of the genitourinary system"
"GEN","2017","GEN005: Calculus of urinary tract",12215,328,"Diseases of the genitourinary system"
"GEN","2017","GEN006: Oth diseases of kidney and ureters",11999,1998,"Diseases of the genitourinary system"
"GEN","2017","GEN007: Oth diseases of bladder and urethra",494,160,"Diseases of the genitourinary system"
"GEN","2017","GEN008: Urinary incontinence",237,NA,"Diseases of the genitourinary system"
"GEN","2017","GEN009: Hematuria",4467,279,"Diseases of the genitourinary system"
"GEN","2017","GEN010: Proteinuria",47,NA,"Diseases of the genitourinary system"
"GEN","2017","GEN011: Vesicoureteral reflux",NA,NA,"Diseases of the genitourinary system"
"GEN","2017","GEN012: Hyperplasia of prostate",1041,156,"Diseases of the genitourinary system"
"GEN","2017","GEN013: Inflammatory conditions-male genital organs",4041,421,"Diseases of the genitourinary system"
"GEN","2019","GEN019: Endometriosis",195,28,"Diseases of the genitourinary system"
"GEN","2019","GEN020: Prolapse of female genital organs",304,NA,"Diseases of the genitourinary system"
"GEN","2019","GEN021: Menstrual disorders",2608,64,"Diseases of the genitourinary system"
"GEN","2019","GEN022: Benign ovarian cyst",6315,108,"Diseases of the genitourinary system"
"GEN","2019","GEN023: Menopausal disorders",283,21,"Diseases of the genitourinary system"
"GEN","2019","GEN024: Female infertility",NA,NA,"Diseases of the genitourinary system"
"GEN","2019","GEN025: Other specified female genital disorders",9296,209,"Diseases of the genitourinary system"
"GEN","2020","GEN009: Hematuria",3730,249,"Diseases of the genitourinary system"
"GEN","2020","GEN010: Proteinuria",32,NA,"Diseases of the genitourinary system"
"GEN","2020","GEN011: Vesicoureteral reflux",NA,NA,"Diseases of the genitourinary system"
"GEN","2016","GEN001: Nephritis; nephrosis; renal sclerosis",119,122,"Diseases of the genitourinary system"
"GEN","2016","GEN002: Acute and unspecified renal failure",2527,8870,"Diseases of the genitourinary system"
"GEN","2016","GEN003: Chronic kidney disease",3300,1718,"Diseases of the genitourinary system"
"GEN","2016","GEN004: Urinary tract infections",69186,7192,"Diseases of the genitourinary system"
"GEN","2016","GEN005: Calculus of urinary tract",14097,400,"Diseases of the genitourinary system"
"GEN","2016","GEN006: Oth diseases of kidney and ureters",11468,2126,"Diseases of the genitourinary system"
"GEN","2016","GEN007: Oth diseases of bladder and urethra",503,176,"Diseases of the genitourinary system"
"GEN","2016","GEN008: Urinary incontinence",282,NA,"Diseases of the genitourinary system"
"GEN","2016","GEN009: Hematuria",4981,367,"Diseases of the genitourinary system"
"GEN","2020","GEN022: Benign ovarian cyst",4613,87,"Diseases of the genitourinary system"
"GEN","2020","GEN023: Menopausal disorders",224,21,"Diseases of the genitourinary system"
"GEN","2020","GEN024: Female infertility",NA,NA,"Diseases of the genitourinary system"
"GEN","2020","GEN025: Other specified female genital disorders",7057,194,"Diseases of the genitourinary system"
"GEN","2019","GEN001: Nephritis; nephrosis; renal sclerosis",119,239,"Diseases of the genitourinary system"
"GEN","2019","GEN002: Acute and unspecified renal failure",3710,9523,"Diseases of the genitourinary system"
"GEN","2019","GEN003: Chronic kidney disease",3760,2251,"Diseases of the genitourinary system"
"GEN","2019","GEN004: Urinary tract infections",63883,8372,"Diseases of the genitourinary system"
"GEN","2019","GEN005: Calculus of urinary tract",12010,259,"Diseases of the genitourinary system"
"GEN","2019","GEN006: Oth diseases of kidney and ureters",13133,1651,"Diseases of the genitourinary system"
"GEN","2019","GEN007: Oth diseases of bladder and urethra",613,188,"Diseases of the genitourinary system"
"GEN","2019","GEN008: Urinary incontinence",260,NA,"Diseases of the genitourinary system"
"GEN","2019","GEN009: Hematuria",4644,339,"Diseases of the genitourinary system"
"GEN","2019","GEN010: Proteinuria",41,NA,"Diseases of the genitourinary system"
"GEN","2019","GEN011: Vesicoureteral reflux",12,NA,"Diseases of the genitourinary system"
"GEN","2019","GEN012: Hyperplasia of prostate",1556,192,"Diseases of the genitourinary system"
"GEN","2019","GEN013: Inflammatory conditions-male genital organs",4317,482,"Diseases of the genitourinary system"
"GEN","2019","GEN014: Erectile dysfunction",21,NA,"Diseases of the genitourinary system"
"GEN","2019","GEN016: Other specified male genital disorders",5355,99,"Diseases of the genitourinary system"
"GEN","2019","GEN017: Nonmalignant breast conditions",2850,211,"Diseases of the genitourinary system"
"GEN","2019","GEN018: Inflammatory diseases-female pelvic organs",6157,336,"Diseases of the genitourinary system"
"GEN","2020","GEN001: Nephritis; nephrosis; renal sclerosis",79,168,"Diseases of the genitourinary system"
"GEN","2020","GEN002: Acute and unspecified renal failure",3253,8579,"Diseases of the genitourinary system"
"GEN","2020","GEN003: Chronic kidney disease",3399,2036,"Diseases of the genitourinary system"
"GEN","2020","GEN004: Urinary tract infections",45787,6724,"Diseases of the genitourinary system"
"GEN","2020","GEN005: Calculus of urinary tract",10181,245,"Diseases of the genitourinary system"
"GEN","2020","GEN006: Oth diseases of kidney and ureters",12254,1464,"Diseases of the genitourinary system"
"GEN","2018","GEN001: Nephritis; nephrosis; renal sclerosis",112,153,"Diseases of the genitourinary system"
"GEN","2018","GEN002: Acute and unspecified renal failure",3337,9841,"Diseases of the genitourinary system"
"GEN","2018","GEN003: Chronic kidney disease",3160,2050,"Diseases of the genitourinary system"
"GEN","2018","GEN004: Urinary tract infections",64482,7717,"Diseases of the genitourinary system"
"GEN","2018","GEN005: Calculus of urinary tract",12158,297,"Diseases of the genitourinary system"
"GEN","2018","GEN006: Oth diseases of kidney and ureters",13268,1817,"Diseases of the genitourinary system"
"GEN","2018","GEN007: Oth diseases of bladder and urethra",557,186,"Diseases of the genitourinary system"
"GEN","2018","GEN008: Urinary incontinence",247,NA,"Diseases of the genitourinary system"
"GEN","2018","GEN009: Hematuria",4622,327,"Diseases of the genitourinary system"
"GEN","2018","GEN010: Proteinuria",31,NA,"Diseases of the genitourinary system"
"GEN","2018","GEN011: Vesicoureteral reflux",NA,NA,"Diseases of the genitourinary system"
"GEN","2018","GEN012: Hyperplasia of prostate",1244,177,"Diseases of the genitourinary system"
"GEN","2018","GEN013: Inflammatory conditions-male genital organs",4212,445,"Diseases of the genitourinary system"
"GEN","2018","GEN014: Erectile dysfunction",16,NA,"Diseases of the genitourinary system"
"GEN","2016","GEN010: Proteinuria",39,NA,"Diseases of the genitourinary system"
"GEN","2016","GEN011: Vesicoureteral reflux",NA,NA,"Diseases of the genitourinary system"
"GEN","2016","GEN012: Hyperplasia of prostate",1066,157,"Diseases of the genitourinary system"
"GEN","2016","GEN013: Inflammatory conditions-male genital organs",4324,433,"Diseases of the genitourinary system"
"GEN","2016","GEN014: Erectile dysfunction",24,NA,"Diseases of the genitourinary system"
"GEN","2018","GEN020: Prolapse of female genital organs",296,NA,"Diseases of the genitourinary system"
"GEN","2016","GEN016: Other specified male genital disorders",4933,94,"Diseases of the genitourinary system"
"GEN","2016","GEN017: Nonmalignant breast conditions",2939,187,"Diseases of the genitourinary system"
"GEN","2016","GEN018: Inflammatory diseases-female pelvic organs",7316,327,"Diseases of the genitourinary system"
"GEN","2016","GEN019: Endometriosis",275,40,"Diseases of the genitourinary system"
"GEN","2016","GEN020: Prolapse of female genital organs",304,NA,"Diseases of the genitourinary system"
"GEN","2016","GEN021: Menstrual disorders",3011,90,"Diseases of the genitourinary system"
"GEN","2016","GEN022: Benign ovarian cyst",7804,141,"Diseases of the genitourinary system"
"GEN","2016","GEN023: Menopausal disorders",263,14,"Diseases of the genitourinary system"
"GEN","2016","GEN024: Female infertility",NA,NA,"Diseases of the genitourinary system"
"GEN","2016","GEN025: Other specified female genital disorders",9846,216,"Diseases of the genitourinary system"
"GEN","2016","GEN026: Postproc GU system complication",813,392,"Diseases of the genitourinary system"
"GEN","2017","GEN022: Benign ovarian cyst",6812,101,"Diseases of the genitourinary system"
"GEN","2017","GEN023: Menopausal disorders",229,13,"Diseases of the genitourinary system"
"GEN","2017","GEN024: Female infertility",NA,NA,"Diseases of the genitourinary system"
"GEN","2017","GEN025: Other specified female genital disorders",8792,225,"Diseases of the genitourinary system"
"GEN","2017","GEN026: Postproc GU system complication",677,385,"Diseases of the genitourinary system"
"GEN","2018","GEN022: Benign ovarian cyst",6817,109,"Diseases of the genitourinary system"
"GEN","2018","GEN023: Menopausal disorders",263,24,"Diseases of the genitourinary system"
"GEN","2017","GEN016: Other specified male genital disorders",4566,82,"Diseases of the genitourinary system"
"GEN","2017","GEN017: Nonmalignant breast conditions",2831,214,"Diseases of the genitourinary system"
"GEN","2017","GEN018: Inflammatory diseases-female pelvic organs",6419,341,"Diseases of the genitourinary system"
"GEN","2017","GEN019: Endometriosis",194,26,"Diseases of the genitourinary system"
"GEN","2019","GEN026: Postproc GU system complication",732,366,"Diseases of the genitourinary system"
"GEN","2017","GEN021: Menstrual disorders",2647,85,"Diseases of the genitourinary system"
"GEN","2018","GEN017: Nonmalignant breast conditions",2923,213,"Diseases of the genitourinary system"
"GEN","2018","GEN018: Inflammatory diseases-female pelvic organs",6302,333,"Diseases of the genitourinary system"
"GEN","2018","GEN019: Endometriosis",208,26,"Diseases of the genitourinary system"
"GEN","2018","GEN024: Female infertility",NA,NA,"Diseases of the genitourinary system"
"GEN","2018","GEN021: Menstrual disorders",2744,62,"Diseases of the genitourinary system"
"GEN","2018","GEN026: Postproc GU system complication",726,378,"Diseases of the genitourinary system"
"GEN","2018","GEN025: Other specified female genital disorders",9070,228,"Diseases of the genitourinary system"
"GEN","2017","GEN020: Prolapse of female genital organs",272,NA,"Diseases of the genitourinary system"
"GEN","2018","GEN016: Other specified male genital disorders",5000,106,"Diseases of the genitourinary system"
"INF","2016","INF007: Hepatitis",388,489,"Certain infectious and parasitic diseases"
"INF","2016","INF004: Fungal infections",2437,106,"Certain infectious and parasitic diseases"
"INF","2017","INF006: HIV infection",125,372,"Certain infectious and parasitic diseases"
"INF","2017","INF007: Hepatitis",288,435,"Certain infectious and parasitic diseases"
"INF","2016","INF006: HIV infection",196,364,"Certain infectious and parasitic diseases"
"INF","2016","INF002: Septicemia",1480,39049,"Certain infectious and parasitic diseases"
"INF","2016","INF003: Bacterial infections",743,91,"Certain infectious and parasitic diseases"
"INF","2020","INF001: Tuberculosis",12,46,"Certain infectious and parasitic diseases"
"INF","2016","INF005: Foodborne intoxications",198,36,"Certain infectious and parasitic diseases"
"INF","2019","INF007: Hepatitis",434,754,"Certain infectious and parasitic diseases"
"INF","2019","INF008: Viral infection",24386,586,"Certain infectious and parasitic diseases"
"INF","2019","INF009: Parasitic, oth infections",1493,50,"Certain infectious and parasitic diseases"
"INF","2019","INF010: Sexually transmitted infections",1659,92,"Certain infectious and parasitic diseases"
"INF","2019","INF012: Coronavirus disease  2019 (COVID-19)",NA,NA,"Certain infectious and parasitic diseases"
"INF","2020","INF008: Viral infection",21357,390,"Certain infectious and parasitic diseases"
"INF","2020","INF009: Parasitic, oth infections",832,29,"Certain infectious and parasitic diseases"
"INF","2020","INF010: Sexually transmitted infections",1473,104,"Certain infectious and parasitic diseases"
"INF","2016","INF001: Tuberculosis",18,66,"Certain infectious and parasitic diseases"
"INF","2018","INF005: Foodborne intoxications",58,22,"Certain infectious and parasitic diseases"
"INF","2018","INF006: HIV infection",144,365,"Certain infectious and parasitic diseases"
"INF","2018","INF007: Hepatitis",396,479,"Certain infectious and parasitic diseases"
"INF","2018","INF008: Viral infection",22619,636,"Certain infectious and parasitic diseases"
"INF","2018","INF009: Parasitic, oth infections",1525,32,"Certain infectious and parasitic diseases"
"INF","2018","INF010: Sexually transmitted infections",1624,94,"Certain infectious and parasitic diseases"
"INF","2018","INF012: Coronavirus disease  2019 (COVID-19)",NA,NA,"Certain infectious and parasitic diseases"
"INF","2016","INF008: Viral infection",25326,715,"Certain infectious and parasitic diseases"
"INF","2016","INF009: Parasitic, oth infections",2135,59,"Certain infectious and parasitic diseases"
"INF","2016","INF010: Sexually transmitted infections",1646,68,"Certain infectious and parasitic diseases"
"INF","2016","INF012: Coronavirus disease  2019 (COVID-19)",NA,NA,"Certain infectious and parasitic diseases"
"INF","2018","INF001: Tuberculosis",13,62,"Certain infectious and parasitic diseases"
"INF","2020","INF012: Coronavirus disease  2019 (COVID-19)",45680,20979,"Certain infectious and parasitic diseases"
"INF","2019","INF001: Tuberculosis",15,62,"Certain infectious and parasitic diseases"
"INF","2019","INF002: Septicemia",2536,46358,"Certain infectious and parasitic diseases"
"INF","2019","INF003: Bacterial infections",588,95,"Certain infectious and parasitic diseases"
"INF","2019","INF004: Fungal infections",2092,105,"Certain infectious and parasitic diseases"
"INF","2019","INF005: Foodborne intoxications",124,19,"Certain infectious and parasitic diseases"
"INF","2019","INF006: HIV infection",125,246,"Certain infectious and parasitic diseases"
"INF","2017","INF001: Tuberculosis",22,48,"Certain infectious and parasitic diseases"
"INF","2017","INF002: Septicemia",1762,41082,"Certain infectious and parasitic diseases"
"INF","2017","INF003: Bacterial infections",526,93,"Certain infectious and parasitic diseases"
"INF","2017","INF004: Fungal infections",2170,112,"Certain infectious and parasitic diseases"
"INF","2017","INF005: Foodborne intoxications",118,26,"Certain infectious and parasitic diseases"
"INF","2017","INF012: Coronavirus disease  2019 (COVID-19)",NA,NA,"Certain infectious and parasitic diseases"
"INF","2017","INF008: Viral infection",22331,677,"Certain infectious and parasitic diseases"
"INF","2017","INF009: Parasitic, oth infections",1822,39,"Certain infectious and parasitic diseases"
"INF","2017","INF010: Sexually transmitted infections",1573,81,"Certain infectious and parasitic diseases"
"INF","2020","INF003: Bacterial infections",330,95,"Certain infectious and parasitic diseases"
"INF","2020","INF004: Fungal infections",1300,114,"Certain infectious and parasitic diseases"
"INF","2020","INF005: Foodborne intoxications",206,35,"Certain infectious and parasitic diseases"
"INF","2020","INF002: Septicemia",2489,52584,"Certain infectious and parasitic diseases"
"INF","2020","INF007: Hepatitis",265,428,"Certain infectious and parasitic diseases"
"INF","2018","INF002: Septicemia",2013,45573,"Certain infectious and parasitic diseases"
"INF","2020","INF006: HIV infection",79,198,"Certain infectious and parasitic diseases"
"INF","2018","INF004: Fungal infections",2238,111,"Certain infectious and parasitic diseases"
"INF","2018","INF003: Bacterial infections",506,92,"Certain infectious and parasitic diseases"
"INJ","2020","INJ032: Maltreatment/abuse",1288,236,"Injury, poisoning and certain other consequences of external causes"
"INJ","2020","INJ026: Other specified injury",2154,219,"Injury, poisoning and certain other consequences of external causes"
"INJ","2020","INJ033: Complic-cardiovasc device, init encounter",2436,1891,"Injury, poisoning and certain other consequences of external causes"
"INJ","2020","INJ013: Open wounds of trunk, init encounter",1697,266,"Injury, poisoning and certain other consequences of external causes"
"INJ","2016","INJ032: Maltreatment/abuse",1088,79,"Injury, poisoning and certain other consequences of external causes"
"INJ","2016","INJ033: Complic-cardiovasc device, init encounter",2166,1768,"Injury, poisoning and certain other consequences of external causes"
"INJ","2016","INJ034: Complic-GU device, init encounter",2944,2428,"Injury, poisoning and certain other consequences of external causes"
"INJ","2016","INJ035: Complic-orthopedic device, init encounter",797,1084,"Injury, poisoning and certain other consequences of external causes"
"INJ","2016","INJ036: Complic-transplanted organs, init encounter",64,608,"Injury, poisoning and certain other consequences of external causes"
"INJ","2016","INJ037: Complic-oth surg/med care, init encounter",4903,5118,"Injury, poisoning and certain other consequences of external causes"
"INJ","2019","INJ025: Injury to nerves/muscles, init encounter",845,51,"Injury, poisoning and certain other consequences of external causes"
"INJ","2019","INJ026: Other specified injury",3197,226,"Injury, poisoning and certain other consequences of external causes"
"INJ","2019","INJ027: Other unspecified injury",32601,82,"Injury, poisoning and certain other consequences of external causes"
"INJ","2019","INJ028: Adverse effects of drugs, init encounter",1433,NA,"Injury, poisoning and certain other consequences of external causes"
"INJ","2019","INJ030: Drug induced or toxic related condition",1024,675,"Injury, poisoning and certain other consequences of external causes"
"INJ","2020","INJ014: Amputation-limb, init encounter",680,134,"Injury, poisoning and certain other consequences of external causes"
"INJ","2020","INJ015: Amputation-oth body parts, init encounter",NA,NA,"Injury, poisoning and certain other consequences of external causes"
"INJ","2020","INJ016: Injury to blood vessels, init encounter",94,196,"Injury, poisoning and certain other consequences of external causes"
"INJ","2020","INJ017: Superficial injury; init encounter",56358,566,"Injury, poisoning and certain other consequences of external causes"
"INJ","2020","INJ018: Crushing injury, init encounter",968,137,"Injury, poisoning and certain other consequences of external causes"
"INJ","2020","INJ019: Burn and corrosion, init encounter",5170,539,"Injury, poisoning and certain other consequences of external causes"
"INJ","2020","INJ020: Effect of foreign body, init encounter",8109,305,"Injury, poisoning and certain other consequences of external causes"
"INJ","2020","INJ021: Effect of oth extern cause, init encounter",1880,423,"Injury, poisoning and certain other consequences of external causes"
"INJ","2020","INJ022: Poisoning by drugs, init encounter",7054,2782,"Injury, poisoning and certain other consequences of external causes"
"INJ","2020","INJ023: Toxic effects, init encounter",5993,437,"Injury, poisoning and certain other consequences of external causes"
"INJ","2020","INJ024: Sprains and strains, init encounter",42141,154,"Injury, poisoning and certain other consequences of external causes"
"INJ","2020","INJ025: Injury to nerves/muscles, init encounter",552,81,"Injury, poisoning and certain other consequences of external causes"
"INJ","2017","INJ037: Complic-oth surg/med care, init encounter",4793,5568,"Injury, poisoning and certain other consequences of external causes"
"INJ","2020","INJ027: Other unspecified injury",23175,69,"Injury, poisoning and certain other consequences of external causes"
"INJ","2020","INJ028: Adverse effects of drugs, init encounter",870,NA,"Injury, poisoning and certain other consequences of external causes"
"INJ","2020","INJ030: Drug induced or toxic related condition",743,552,"Injury, poisoning and certain other consequences of external causes"
"INJ","2020","INJ031: Allergic reactions",6108,224,"Injury, poisoning and certain other consequences of external causes"
"INJ","2019","INJ007: Dislocations, init encounter",7226,159,"Injury, poisoning and certain other consequences of external causes"
"INJ","2019","INJ008: TBI; concussion, init encounter",12175,4363,"Injury, poisoning and certain other consequences of external causes"
"INJ","2020","INJ034: Complic-GU device, init encounter",4163,3779,"Injury, poisoning and certain other consequences of external causes"
"INJ","2020","INJ035: Complic-orthopedic device, init encounter",806,1070,"Injury, poisoning and certain other consequences of external causes"
"INJ","2020","INJ036: Complic-transplanted organs, init encounter",70,992,"Injury, poisoning and certain other consequences of external causes"
"INJ","2020","INJ037: Complic-oth surg/med care, init encounter",3843,5301,"Injury, poisoning and certain other consequences of external causes"
"INJ","2016","INJ025: Injury to nerves/muscles, init encounter",868,70,"Injury, poisoning and certain other consequences of external causes"
"INJ","2016","INJ026: Other specified injury",2530,296,"Injury, poisoning and certain other consequences of external causes"
"INJ","2016","INJ027: Other unspecified injury",37450,73,"Injury, poisoning and certain other consequences of external causes"
"INJ","2016","INJ028: Adverse effects of drugs, init encounter",2881,19,"Injury, poisoning and certain other consequences of external causes"
"INJ","2016","INJ030: Drug induced or toxic related condition",866,543,"Injury, poisoning and certain other consequences of external causes"
"INJ","2016","INJ031: Allergic reactions",9149,267,"Injury, poisoning and certain other consequences of external causes"
"INJ","2019","INJ019: Burn and corrosion, init encounter",6434,474,"Injury, poisoning and certain other consequences of external causes"
"INJ","2019","INJ020: Effect of foreign body, init encounter",9498,305,"Injury, poisoning and certain other consequences of external causes"
"INJ","2019","INJ021: Effect of oth extern cause, init encounter",2425,375,"Injury, poisoning and certain other consequences of external causes"
"INJ","2019","INJ022: Poisoning by drugs, init encounter",6855,2757,"Injury, poisoning and certain other consequences of external causes"
"INJ","2019","INJ023: Toxic effects, init encounter",7728,518,"Injury, poisoning and certain other consequences of external causes"
"INJ","2019","INJ024: Sprains and strains, init encounter",67469,194,"Injury, poisoning and certain other consequences of external causes"
"INJ","2020","INJ008: TBI; concussion, init encounter",9432,4407,"Injury, poisoning and certain other consequences of external causes"
"INJ","2020","INJ009: Spinal cord injury (SCI), init encounter",44,234,"Injury, poisoning and certain other consequences of external causes"
"INJ","2020","INJ010: Internal organ injury, init encounter",780,1994,"Injury, poisoning and certain other consequences of external causes"
"INJ","2020","INJ011: Open wounds of head/neck, init encounter",29955,454,"Injury, poisoning and certain other consequences of external causes"
"INJ","2020","INJ012: Open wounds to limbs, init encounter",38637,657,"Injury, poisoning and certain other consequences of external causes"
"INJ","2019","INJ031: Allergic reactions",8459,342,"Injury, poisoning and certain other consequences of external causes"
"INJ","2019","INJ032: Maltreatment/abuse",1520,232,"Injury, poisoning and certain other consequences of external causes"
"INJ","2019","INJ033: Complic-cardiovasc device, init encounter",2570,2082,"Injury, poisoning and certain other consequences of external causes"
"INJ","2019","INJ034: Complic-GU device, init encounter",4563,3865,"Injury, poisoning and certain other consequences of external causes"
"INJ","2019","INJ035: Complic-orthopedic device, init encounter",904,1179,"Injury, poisoning and certain other consequences of external causes"
"INJ","2019","INJ036: Complic-transplanted organs, init encounter",84,1005,"Injury, poisoning and certain other consequences of external causes"
"INJ","2019","INJ037: Complic-oth surg/med care, init encounter",4901,6112,"Injury, poisoning and certain other consequences of external causes"
"INJ","2017","INJ032: Maltreatment/abuse",1198,143,"Injury, poisoning and certain other consequences of external causes"
"INJ","2017","INJ033: Complic-cardiovasc device, init encounter",2082,1829,"Injury, poisoning and certain other consequences of external causes"
"INJ","2017","INJ034: Complic-GU device, init encounter",3592,2965,"Injury, poisoning and certain other consequences of external causes"
"INJ","2017","INJ035: Complic-orthopedic device, init encounter",744,1055,"Injury, poisoning and certain other consequences of external causes"
"INJ","2017","INJ036: Complic-transplanted organs, init encounter",56,621,"Injury, poisoning and certain other consequences of external causes"
"INJ","2016","INJ013: Open wounds of trunk, init encounter",1834,278,"Injury, poisoning and certain other consequences of external causes"
"INJ","2016","INJ014: Amputation-limb, init encounter",764,107,"Injury, poisoning and certain other consequences of external causes"
"INJ","2016","INJ015: Amputation-oth body parts, init encounter",NA,NA,"Injury, poisoning and certain other consequences of external causes"
"INJ","2016","INJ016: Injury to blood vessels, init encounter",115,136,"Injury, poisoning and certain other consequences of external causes"
"INJ","2016","INJ017: Superficial injury; init encounter",86518,520,"Injury, poisoning and certain other consequences of external causes"
"INJ","2016","INJ018: Crushing injury, init encounter",1458,131,"Injury, poisoning and certain other consequences of external causes"
"INJ","2016","INJ019: Burn and corrosion, init encounter",6612,505,"Injury, poisoning and certain other consequences of external causes"
"INJ","2019","INJ009: Spinal cord injury (SCI), init encounter",50,224,"Injury, poisoning and certain other consequences of external causes"
"INJ","2019","INJ010: Internal organ injury, init encounter",800,1835,"Injury, poisoning and certain other consequences of external causes"
"INJ","2019","INJ011: Open wounds of head/neck, init encounter",35291,493,"Injury, poisoning and certain other consequences of external causes"
"INJ","2019","INJ012: Open wounds to limbs, init encounter",44127,756,"Injury, poisoning and certain other consequences of external causes"
"INJ","2019","INJ013: Open wounds of trunk, init encounter",1793,259,"Injury, poisoning and certain other consequences of external causes"
"INJ","2019","INJ014: Amputation-limb, init encounter",745,136,"Injury, poisoning and certain other consequences of external causes"
"INJ","2019","INJ015: Amputation-oth body parts, init encounter",NA,NA,"Injury, poisoning and certain other consequences of external causes"
"INJ","2019","INJ016: Injury to blood vessels, init encounter",144,174,"Injury, poisoning and certain other consequences of external causes"
"INJ","2019","INJ017: Superficial injury; init encounter",82537,678,"Injury, poisoning and certain other consequences of external causes"
"INJ","2019","INJ018: Crushing injury, init encounter",1344,117,"Injury, poisoning and certain other consequences of external causes"
"INJ","2018","INJ036: Complic-transplanted organs, init encounter",71,704,"Injury, poisoning and certain other consequences of external causes"
"INJ","2018","INJ037: Complic-oth surg/med care, init encounter",4892,5962,"Injury, poisoning and certain other consequences of external causes"
"INJ","2017","INJ014: Amputation-limb, init encounter",684,138,"Injury, poisoning and certain other consequences of external causes"
"INJ","2017","INJ015: Amputation-oth body parts, init encounter",NA,NA,"Injury, poisoning and certain other consequences of external causes"
